Filing Date,Trade Date,Action Date,performance_check_month,performance_check_2_weeks,classification_check_month,classification_check_2_weeks,filing_check_month,Filing Quarter,Difference btw. filing and trade date,Ticker,Title,Delta own,Value,Title Conv.,Delta Own Conv.,Sector,One Month Prior Performance,2-Week Prior Performance,One Month Prior Market Performance,2-Week Prior Index Performance,One Month Prior Volatility Change,2-Week Prior Volatility Change,Number of Recent Transactions,Days Since Last Recent Transaction,Trade Day of Week,Filing Day of Week,Return if exited at the 75th percentile midpoint of daily price action,Return if exited at the 75th percentile open of daily price action,Days to midpoint exit,Days to open exit
2022-08-08,2022-08-08,2022-08-09,2022-07-12,2022-07-26,2022-09-07,2022-08-23,2022-05-12,3,3.34,OPK,"CEO, COB, 10%",0%,802103,0.0,0.0,Healthcare,-0.08058609050299333,0.03719004600493231,0.07022943368970172,0.04281326245311918,-0.09102297435201516,-0.09102297435201516,4,47,0,0,0.05371895534045778,0.04958672800657641,8.0,3.0
2022-08-05,2022-08-05,2022-08-08,2022-07-11,2022-07-25,2022-09-06,2022-08-22,2022-05-11,3,1.73,TRU,"Pres, CEO",12%,1985450,0.0,0.12,Industrials,-0.027387211694561427,-0.0888862674481859,0.06676736076817731,0.043961774703853936,-0.12494858272550478,-0.12494858272550478,0,-1,4,4,0.019911975199446662,0.016113070101721833,8.0,8.0
2022-08-05,2022-08-05,2022-08-08,2022-07-11,2022-07-25,2022-09-06,2022-08-22,2022-05-11,3,1.7,AAT,"COB, CEO, 10%",0%,577400,0.0,0.0,Real Estate,0.008858639262264649,-0.009036096892556588,0.06676736076817731,0.043961774703853936,-0.12494858272550478,-0.12494858272550478,9,2,4,4,0.011627889183730073,0.012470545021312403,7.0,9.0
2022-08-05,2022-08-05,2022-08-08,2022-07-11,2022-07-25,2022-09-06,2022-08-22,2022-05-11,3,1.48,MTCH,CEO,>999%,1017280,0.0,1.0,Communication Services,-0.07760016267225549,-0.05743151678926031,0.06676736076817731,0.043961774703853936,-0.12494858272550478,-0.12494858272550478,0,-1,4,4,-0.019104529158873992,-0.024063023672485903,2.0,3.0
2022-08-05,2022-08-05,2022-08-08,2022-07-11,2022-07-25,2022-09-06,2022-08-22,2022-05-11,3,9.33,PLAG,"CEO, 10%",10%,1416800,0.0,0.1,Consumer Defensive,0.09638559581199085,0.07058823611909541,0.06676736076817731,0.043961774703853936,-0.12494858272550478,-0.12494858272550478,1,9,4,4,-0.032967066076724796,-0.02197806588435245,2.0,5.0
2022-08-04,2022-08-04,2022-08-05,2022-07-08,2022-07-22,2022-09-02,2022-08-19,2022-05-10,3,1.71,PINS,CEO,New,5000009,0.0,1.0,Communication Services,0.13602009086666364,0.16899938656348593,0.06607838236006036,0.036704409549427025,-0.09227466476095518,-0.09227466476095518,0,-1,3,3,0.03647929824549458,0.03569831514982943,3.0,6.0
2022-08-03,2022-08-03,2022-08-04,2022-07-07,2022-07-21,2022-09-01,2022-08-18,2022-05-09,3,2.69,AAT,"COB, CEO, 10%",0%,1040550,0.0,0.0,Real Estate,-0.04045090731856411,-0.026899774687490892,0.075952637789173,0.049670449316595484,-0.10926461130500684,-0.10926461130500684,8,49,2,2,-0.007440466928423543,0.0,9.0,0.0
2022-08-03,2022-08-03,2022-08-04,2022-07-07,2022-07-21,2022-09-01,2022-08-18,2022-05-09,3,2.69,RKT,CEO,2%,598314,0.0,0.02,Financial Services,0.19651157039768438,0.07748688548049357,0.075952637789173,0.049670449316595484,-0.10926461130500684,-0.10926461130500684,23,5,2,2,0.017905419990910637,0.010617819883870817,7.0,5.0
2022-08-03,2022-08-03,2022-08-04,2022-07-07,2022-07-21,2022-09-01,2022-08-18,2022-05-09,3,1.67,PACK,"CEO, Exec COB",2%,504000,0.0,0.02,Consumer Cyclical,-0.18910740919083766,-0.19398495388769632,0.075952637789173,0.049670449316595484,-0.10926461130500684,-0.10926461130500684,0,-1,2,2,0.1361111334321917,0.13333329212518458,10.0,11.0
2022-08-03,2022-08-03,2022-08-04,2022-07-07,2022-07-21,2022-09-01,2022-08-18,2022-05-09,3,1.49,EIG,"Pres, CEO",37%,491530,0.0,0.37,Financial Services,-0.08380949015803958,-0.046580791516803874,0.075952637789173,0.049670449316595484,-0.10926461130500684,-0.10926461130500684,0,-1,2,2,0.05652355197839547,0.06330450393547758,16.0,16.0
2022-08-03,2022-08-03,2022-08-04,2022-07-07,2022-07-21,2022-09-01,2022-08-18,2022-05-09,3,1.38,FIP,"Pres, CEO",356%,879500,0.0,3.56,Industrials,,,0.075952637789173,0.049670449316595484,-0.10926461130500684,-0.10926461130500684,0,-1,2,2,,,,
2022-08-02,2022-08-02,2022-08-03,2022-07-06,2022-07-20,2022-08-31,2022-08-17,2022-05-06,3,1.71,CYH,Exec COB,19%,2952000,3.0,0.19,Healthcare,-0.1504854132963036,-0.14841851914802776,0.08434019568304622,0.055865812614138866,-0.09409817673840701,-0.09409817673840701,0,-1,1,1,0.14057505492767766,0.13418524681120875,8.0,3.0
2022-08-02,2022-08-02,2022-08-03,2022-07-06,2022-07-20,2022-08-31,2022-08-17,2022-05-06,3,4.6,NEOG,"Pres, CEO",43%,403725,0.0,0.43,Healthcare,-0.09321336323124521,-0.009379146502779498,0.08434019568304622,0.055865812614138866,-0.09409817673840701,-0.09409817673840701,0,-1,1,1,-0.01638243777125463,-0.008079008062314482,9.0,7.0
